PLAYERID,FIRSTNAME,LASTNAME,PLAYERNAME,TEAMID,TEAMCITY,TEAMNAME,TEAMABBREVIATION,AVGSHOTQUALITY,AVGMADESHOTQUALITY,AVGMISSEDSHOTQUALITY,MINSHOTQUALITYONMAKE,AVGSHOTQUALITY2PT,AVGMADESHOTQUALITY2PT,AVGMISSEDSHOTQUALITY2PT,AVGSHOTQUALITY3PT,AVGMADESHOTQUALITY3PT,AVGMISSEDSHOTQUALITY3PT,FG2M,FG2M_RANK,FG2A,FG2A_RANK,FG3M,FG3M_RANK,FG3A,FG3A_RANK,FGM,FGM_RANK,FGA,FGA_RANK,FGPCT,FGPCTABOVEEXPECTED,FG3PCT,FG3PCTABOVEEXPECTED,AVGDEFENSIVEHANDHEIGHT,AVGDEFENDERBALLDISTANCE,AVGSHOOTERSPEED,AVGROTATIONDEGREES,AVGDEFENDERPRESSURESCORE,AVGSHOTQUALITY_RANK,AVGMADESHOTQUALITY_RANK,AVGMISSEDSHOTQUALITY_RANK,MINSHOTQUALITYONMAKE_RANK,AVGSHOTQUALITY2PT_RANK,AVGMADESHOTQUALITY2PT_RANK,AVGMISSEDSHOTQUALITY2PT_RANK,AVGSHOTQUALITY3PT_RANK,AVGMADESHOTQUALITY3PT_RANK,AVGMISSEDSHOTQUALITY3PT_RANK,FGPCT_RANK,FGPCTABOVEEXPECTED_RANK,FG3PCT_RANK,FG3PCTABOVEEXPECTED_RANK,AVGDEFENSIVEHANDHEIGHT_RANK,AVGDEFENDERBALLDISTANCE_RANK,AVGSHOOTERSPEED_RANK,AVGROTATIONDEGREES_RANK,AVGDEFENDERPRESSURESCORE_RANK
201942,DeMar,DeRozan,DeMar DeRozan,1610612758,Sacramento,Kings,SAC,0.438,0.475,0.401,0.167,0.454,0.488,0.415,0.351,0.359,0.347,452,15,858,15,47,109,147,109,499,34,1005,42,0.497,0.059,0.32,-0.031,90.617,28.4,3.582,0.0,0.879,89,102,63,108,125,125,109,101,88,98,39,9,100,91,8,124,109,1,1
1629627,Zion,Williamson,Zion Williamson,1610612740,New Orleans,Pelicans,NOP,0.541,0.618,0.417,0.023,0.542,0.618,0.418,0.374,0.41,0.361,483,20,803,20,1,120,4,123,484,39,807,71,0.6,0.059,0.25,-0.124,91.098,35.0,8.106,0.0,0.873,14,15,35,12,47,51,105,29,2,54,7,8,116,117,6,78,2,1,2
1630578,Alperen,Sengun,Alperen Sengun,1610612745,Houston,Rockets,HOU,0.517,0.579,0.445,0.015,0.539,0.595,0.465,0.359,0.366,0.356,543,3,992,3,40,111,131,110,583,14,1123,25,0.519,0.002,0.305,-0.054,88.331,31.9,4.717,0.0,0.865,20,28,13,5,51,69,25,68,63,68,23,87,108,103,32,109,68,1,3
201142,Kevin,Durant,Kevin Durant,1610612745,Houston,Rockets,HOU,0.433,0.474,0.387,0.069,0.474,0.515,0.416,0.351,0.359,0.346,530,8,926,8,186,24,450,29,716,3,1376,6,0.52,0.087,0.413,0.062,94.534,31.8,3.548,0.0,0.865,94,103,91,45,116,120,108,100,89,103,21,2,8,7,1,110,112,1,4
1627742,Brandon,Ingram,Brandon Ingram,1610612761,Toronto,Raptors,TOR,0.442,0.497,0.39,0.1,0.476,0.533,0.412,0.354,0.367,0.346,479,6,935,6,135,50,353,59,614,11,1288,9,0.477,0.035,0.382,0.028,92.886,32.6,4.007,0.0,0.864,82,89,82,66,113,110,111,93,62,101,61,29,33,34,2,104,97,1,5
203999,Nikola,Jokić,Nikola Jokić,1610612743,Denver,Nuggets,DEN,0.466,0.509,0.406,0.106,0.513,0.544,0.455,0.335,0.344,0.33,532,16,837,16,112,74,295,77,644,9,1132,24,0.569,0.103,0.38,0.045,90.151,32.8,4.046,0.0,0.864,60,77,50,70,84,106,31,120,114,121,10,1,35,17,13,102,95,1,6
1629008,Michael,Porter Jr.,Michael Porter Jr.,1610612751,Brooklyn,Nets,BKN,0.424,0.498,0.357,0.067,0.524,0.61,0.407,0.331,0.337,0.327,268,80,473,80,176,29,485,25,444,48,958,48,0.463,0.039,0.363,0.032,89.548,31.0,3.285,0.0,0.86,108,88,122,41,71,57,119,122,117,122,79,25,61,30,17,112,117,1,7
1627759,Jaylen,Brown,Jaylen Brown,1610612738,Boston,Celtics,BOS,0.462,0.523,0.402,0.02,0.501,0.563,0.429,0.352,0.353,0.352,596,1,1139,1,140,45,404,44,736,1,1543,1,0.477,0.015,0.347,-0.005,90.068,29.9,4.887,0.0,0.859,65,66,56,11,95,93,91,96,105,84,61,61,76,68,14,116,57,1,8
1629651,Nic,Claxton,Nic Claxton,1610612751,Brooklyn,Nets,BKN,0.593,0.68,0.469,0.039,0.601,0.683,0.477,0.376,0.412,0.369,330,48,564,48,3,119,19,119,333,100,583,121,0.571,-0.022,0.158,-0.218,87.081,34.7,5.077,0.0,0.859,7,9,4,26,15,16,14,23,1,34,8,113,120,120,54,82,49,1,9
1626164,Devin,Booker,Devin Booker,1610612756,Phoenix,Suns,PHX,0.439,0.492,0.394,0.113,0.482,0.532,0.426,0.347,0.352,0.344,424,17,828,17,122,64,370,52,546,24,1198,16,0.456,0.017,0.33,-0.017,90.235,29.3,4.567,0.0,0.858,86,91,71,76,110,111,94,109,107,104,89,58,95,78,12,120,73,1,10
