PLAYERID,PLAYERNAME,TEAMID,TEAMABBREVIATION,FGM,FGA,AVGDEFENSIVEHANDHEIGHT,AVGDEFENDERBALLDISTANCE,AVGSHOOTERSPEED,AVGROTATIONDEGREES,AVGDEFENDERPRESSURESCORE,AVGDEFENSIVEHANDHEIGHT_RANK,AVGDEFENDERBALLDISTANCE_RANK,AVGSHOOTERSPEED_RANK,AVGROTATIONDEGREES_RANK,AVGDEFENDERPRESSURESCORE_RANK
201942,DeMar DeRozan,1610612758,SAC,499,1005,90.617,28.4,3.582,0.0,0.879,8,124,109,1,1
1629627,Zion Williamson,1610612740,NOP,484,807,91.098,35.0,8.106,0.0,0.873,6,78,2,1,2
1630578,Alperen Sengun,1610612745,HOU,583,1123,88.331,31.9,4.717,0.0,0.865,32,109,68,1,3
201142,Kevin Durant,1610612745,HOU,716,1376,94.534,31.8,3.548,0.0,0.865,1,110,112,1,4
1627742,Brandon Ingram,1610612761,TOR,614,1288,92.886,32.6,4.007,0.0,0.864,2,104,97,1,5
203999,Nikola Jokić,1610612743,DEN,644,1132,90.151,32.8,4.046,0.0,0.864,13,102,95,1,6
1629008,Michael Porter Jr.,1610612751,BKN,444,958,89.548,31.0,3.285,0.0,0.86,17,112,117,1,7
1627759,Jaylen Brown,1610612738,BOS,736,1543,90.068,29.9,4.887,0.0,0.859,14,116,57,1,8
1629651,Nic Claxton,1610612751,BKN,333,583,87.081,34.7,5.077,0.0,0.859,54,82,49,1,9
1626164,Devin Booker,1610612756,PHX,546,1198,90.235,29.3,4.567,0.0,0.858,12,120,73,1,10
1629029,Luka Dončić,1610612747,LAL,693,1457,85.325,32.3,4.134,0.0,0.856,78,106,89,1,11
1642843,Cooper Flagg,1610612742,DAL,559,1194,89.914,34.6,5.452,0.0,0.855,15,84,33,1,12
1642259,Alex Sarr,1610612764,WAS,316,656,92.788,29.5,3.892,0.0,0.855,3,118,100,1,13
1631105,Jalen Duren,1610612765,DET,522,803,85.206,38.6,5.748,0.0,0.855,81,49,21,1,14
1642852,Derik Queen,1610612740,NOP,354,748,88.484,34.9,5.197,0.0,0.852,29,80,43,1,15
1630567,Scottie Barnes,1610612761,TOR,569,1123,89.419,33.7,4.481,0.0,0.851,20,92,76,1,16
202695,Kawhi Leonard,1610612746,LAC,635,1258,89.462,34.5,3.837,0.0,0.851,19,87,101,1,17
1631094,Paolo Banchero,1610612753,ORL,529,1152,90.628,33.3,5.236,0.0,0.851,7,96,41,1,18
1641705,Victor Wembanyama,1610612759,SAS,553,1080,88.005,37.1,4.794,0.0,0.851,36,62,62,1,19
203954,Joel Embiid,1610612755,PHI,341,697,85.321,33.1,3.266,0.0,0.85,79,98,118,1,20
1629028,Deandre Ayton,1610612747,LAL,403,601,85.892,34.9,3.555,0.0,0.85,72,81,111,1,21
1630596,Evan Mobley,1610612739,CLE,469,859,90.46,34.4,4.078,0.0,0.848,9,88,93,1,22
203507,Giannis Antetokounmpo,1610612749,MIL,373,598,87.171,28.8,6.376,0.0,0.848,52,122,9,1,23
1630595,Cade Cunningham,1610612765,DET,548,1189,89.734,29.4,5.529,0.0,0.847,16,119,28,1,24
201935,James Harden,1610612739,CLE,487,1123,88.917,30.2,5.782,0.0,0.847,26,114,18,1,25
1629674,Neemias Queta,1610612738,BOS,326,499,85.538,38.6,4.918,0.0,0.846,75,50,55,1,26
1630552,Jalen Johnson,1610612737,ATL,600,1228,87.385,35.0,4.981,0.0,0.844,43,79,54,1,27
1628973,Jalen Brunson,1610612752,NYK,689,1475,83.463,32.3,4.888,0.0,0.844,103,105,56,1,28
1631170,Jaime Jaquez Jr.,1610612748,MIA,464,915,87.855,34.7,5.825,0.0,0.844,39,83,17,1,29
1630173,Precious Achiuwa,1610612758,SAC,316,598,88.392,41.0,4.769,0.0,0.843,30,27,65,1,30
